"Long","Lat","SST","logchlo","BATHY"
-179.5,89.5,NA,NA,4094.4883
-178.5,89.5,NA,NA,4094.4883
-177.5,89.5,NA,NA,4094.4883
-176.5,89.5,NA,NA,4062.9922
-175.5,89.5,NA,NA,4031.496
-174.5,89.5,NA,NA,3968.504
-173.5,89.5,NA,NA,3937.0078
-172.5,89.5,NA,NA,3905.5117
-171.5,89.5,NA,NA,3874.0159
-170.5,89.5,NA,NA,3874.0159
-169.5,89.5,NA,NA,3905.5117
-168.5,89.5,NA,NA,3937.0078
-167.5,89.5,NA,NA,4000
-166.5,89.5,NA,NA,4031.496
-165.5,89.5,NA,NA,4062.9922
-164.5,89.5,NA,NA,4062.9922
-163.5,89.5,NA,NA,4094.4883
-162.5,89.5,NA,NA,4094.4883
-161.5,89.5,NA,NA,4094.4883
-160.5,89.5,NA,NA,4094.4883
-159.5,89.5,NA,NA,4094.4883
-158.5,89.5,NA,NA,4125.9844
-157.5,89.5,NA,NA,4125.9844
-156.5,89.5,NA,NA,4125.9844
-155.5,89.5,NA,NA,4094.4883
-154.5,89.5,NA,NA,4094.4883
-153.5,89.5,NA,NA,4062.9922
-152.5,89.5,NA,NA,4062.9922
-151.5,89.5,NA,NA,4031.496
-150.5,89.5,NA,NA,4031.496
-149.5,89.5,NA,NA,4000
-148.5,89.5,NA,NA,4000
-147.5,89.5,NA,NA,4000
-146.5,89.5,NA,NA,4000
-145.5,89.5,NA,NA,3968.504
-144.5,89.5,NA,NA,3968.504
-143.5,89.5,NA,NA,3937.0078
-142.5,89.5,NA,NA,3905.5117
-141.5,89.5,NA,NA,3874.0159
-140.5,89.5,NA,NA,3811.0237
-139.5,89.5,NA,NA,3811.0237
-138.5,89.5,NA,NA,3811.0237
-137.5,89.5,NA,NA,3779.5276
-136.5,89.5,NA,NA,3748.0315
-135.5,89.5,NA,NA,3716.5354
-134.5,89.5,NA,NA,3685.0393
-133.5,89.5,NA,NA,3653.5432
-132.5,89.5,NA,NA,3685.0393
-131.5,89.5,NA,NA,3716.5354
-130.5,89.5,NA,NA,3779.5276
-129.5,89.5,NA,NA,3811.0237
-128.5,89.5,NA,NA,3842.5198
-127.5,89.5,NA,NA,3874.0159
-126.5,89.5,NA,NA,3874.0159
-125.5,89.5,NA,NA,3874.0159
-124.5,89.5,NA,NA,3874.0159
-123.5,89.5,NA,NA,3842.5198
-122.5,89.5,NA,NA,3779.5276
-121.5,89.5,NA,NA,3779.5276
-120.5,89.5,NA,NA,3748.0315
-119.5,89.5,NA,NA,3716.5354
-118.5,89.5,NA,NA,3685.0393
-117.5,89.5,NA,NA,3716.5354
-116.5,89.5,NA,NA,3748.0315
-115.5,89.5,NA,NA,3811.0237
-114.5,89.5,NA,NA,3905.5117
-113.5,89.5,NA,NA,4000
-112.5,89.5,NA,NA,4062.9922
-111.5,89.5,NA,NA,4157.4805
-110.5,89.5,NA,NA,4188.9766
-109.5,89.5,NA,NA,4188.9766
-108.5,89.5,NA,NA,4220.4727
-107.5,89.5,NA,NA,4188.9766
-106.5,89.5,NA,NA,4157.4805
-105.5,89.5,NA,NA,4094.4883
-104.5,89.5,NA,NA,4000
-103.5,89.5,NA,NA,3937.0078
-102.5,89.5,NA,NA,3937.0078
-101.5,89.5,NA,NA,3937.0078
-100.5,89.5,NA,NA,3937.0078
-99.5,89.5,NA,NA,3905.5117
-98.5,89.5,NA,NA,3874.0159
-97.5,89.5,NA,NA,3874.0159
-96.5,89.5,NA,NA,3874.0159
-95.5,89.5,NA,NA,3905.5117
-94.5,89.5,NA,NA,3811.0237
-93.5,89.5,NA,NA,3653.5432
-92.5,89.5,NA,NA,3527.559
-91.5,89.5,NA,NA,3590.5513
-90.5,89.5,NA,NA,3653.5432
-89.5,89.5,NA,NA,3716.5354
-88.5,89.5,NA,NA,3779.5276
-87.5,89.5,NA,NA,3842.5198
-86.5,89.5,NA,NA,3905.5117
-85.5,89.5,NA,NA,3937.0078
-84.5,89.5,NA,NA,3968.504
-83.5,89.5,NA,NA,3968.504
-82.5,89.5,NA,NA,4000
-81.5,89.5,NA,NA,4000
-80.5,89.5,NA,NA,4000
-79.5,89.5,NA,NA,4000
-78.5,89.5,NA,NA,4000
-77.5,89.5,NA,NA,3968.504
-76.5,89.5,NA,NA,3968.504
-75.5,89.5,NA,NA,3968.504
-74.5,89.5,NA,NA,4000
-73.5,89.5,NA,NA,3968.504
-72.5,89.5,NA,NA,3937.0078
-71.5,89.5,NA,NA,3874.0159
-70.5,89.5,NA,NA,3874.0159
-69.5,89.5,NA,NA,3842.5198
-68.5,89.5,NA,NA,3811.0237
-67.5,89.5,NA,NA,3811.0237
-66.5,89.5,NA,NA,3842.5198
-65.5,89.5,NA,NA,3842.5198
-64.5,89.5,NA,NA,3905.5117
-63.5,89.5,NA,NA,3937.0078
-62.5,89.5,NA,NA,3968.504
-61.5,89.5,NA,NA,4000
-60.5,89.5,NA,NA,4000
-59.5,89.5,NA,NA,4031.496
-58.5,89.5,NA,NA,4031.496
-57.5,89.5,NA,NA,4062.9922
-56.5,89.5,NA,NA,4062.9922
-55.5,89.5,NA,NA,4062.9922
-54.5,89.5,NA,NA,4094.4883
-53.5,89.5,NA,NA,4094.4883
-52.5,89.5,NA,NA,4094.4883
-51.5,89.5,NA,NA,4094.4883
-50.5,89.5,NA,NA,4094.4883
-49.5,89.5,NA,NA,4125.9844
-48.5,89.5,NA,NA,4125.9844
-47.5,89.5,NA,NA,4125.9844
